0.010762	0.004238	0	0	0	0	-1.230524	0.295895	130.151733	0.000000	-0.024000	1.016000	0.271416	0.021052	-0.281085	-136.233612	-154.312027	-407.009491	-136.233612	-154.312027	-407.009491	1640	1640	1640	1640
0.036078	0.004027	0	0	0	0	-1.232066	0.306034	130.155502	-0.004000	-0.024000	1.016000	0.428916	0.213552	0.628915	-136.233612	-155.225540	-404.933990	-136.233612	-155.225540	-404.933990	1640	1640	1640	1640
0.060886	0.004043	0	0	0	0	-1.227730	0.307642	130.161453	-0.008000	-0.016000	1.020000	0.411416	-0.346448	-0.053585	-135.313614	-154.312027	-407.009491	-135.313614	-154.312027	-407.009491	1640	1640	1640	1640
0.086157	0.004020	0	0	0	0	-1.228291	0.307285	130.161240	-0.004000	-0.028000	1.016000	0.096416	-0.171448	-0.263585	-136.233612	-154.312027	-407.009491	-136.233612	-154.312027	-407.009491	1640	1640	1640	1640
0.110845	0.004025	0	0	0	0	-1.231063	0.314911	130.160385	-0.012000	-0.024000	1.016000	-0.166084	0.143552	-0.141085	-134.393616	-154.312027	-404.933990	-134.393616	-154.312027	-404.933990	1640	1640	1640	1640
0.135504	0.004020	0	0	0	0	-1.236624	0.318750	130.158890	0.000000	-0.020000	1.020000	-0.323584	0.143552	-0.316085	-135.313614	-154.312027	-405.971741	-135.313614	-154.312027	-405.971741	1640	1640	1640	1640
0.160172	0.004025	0	0	0	0	-1.240059	0.325799	130.160568	-0.008000	-0.024000	1.028000	0.201416	-0.626448	0.348915	-136.233612	-153.398499	-404.933990	-136.233612	-153.398499	-404.933990	1640	1640	1640	1640
0.184912	0.004020	0	0	0	0	-1.238987	0.322532	130.163254	-0.008000	-0.016000	1.020000	0.428916	-0.136448	-0.298585	-137.153610	-153.398499	-404.933990	-137.153610	-153.398499	-404.933990	1640	1640	1640	1640
0.209964	0.004062	0	0	0	0	-1.243529	0.327170	130.161850	-0.008000	-0.024000	1.024000	-0.166084	0.406053	-0.561085	-136.233612	-153.398499	-407.009491	-136.233612	-153.398499	-407.009491	1640	1640	1640	1640
0.234979	0.004023	0	0	0	0	-1.247073	0.323301	130.159821	-0.004000	-0.020000	1.020000	0.236416	0.038552	-0.158585	-135.313614	-154.312027	-407.009491	-135.313614	-154.312027	-407.009491	1640	1640	1640	1640
0.259670	0.004024	0	0	0	0	-1.238140	0.322931	130.160385	-0.004000	-0.020000	1.012000	0.236416	-0.171448	-0.316085	-134.393616	-154.312027	-404.933990	-134.393616	-154.312027	-404.933990	1640	1640	1640	1640
